SKU,Model ID,Month_Year_Manufacturing,Brand_Color,Country_of_Origin,FSN,Material
15346_EAGLE_BLACK_VIV_V23E_5G,15346_EAGLE_BLACK_VIV_V23E_5G,Mar-26,"Black, Transparent",INDIA,ACCGCRFPRUWYDR3K,"Plastic, Rubber, Fiber"
33333_CAMRA-PROTEC_VIV_V25_5G_SNSN,33333_CAMRA-PROTEC_VIV_V25_5G_SNSN,Mar-26,Transparent,INDIA,ACCGQSJ2FZWCFVY2,Silicon
ARMY_BLK_REAL_11PRO_5G,ARMY_BLK_REAL_11PRO_5G,Mar-26,Black,INDIA,ACCGQQ82YG6FTFHJ,"Plastic, Rubber, Fiber"
BUMP_T_PRINT_MAGSF_OPP_RENO_15C_5G_852,BUMP_T_PRINT_MAGSF_OPP_RENO_15c_5G_852,Mar-26,Transparent,INDIA,ACCHH4WTYTDKSDCR,Thermoplastic Polyurethane
CAMERA-PROT_1+10R_5G,CAMER 5G,Mar-26,Transparent,INDIA,ACCGHVE59UTS98ZX,Silicon
CAMERA-PROT_1+NORD_CE2LITE_5G,CAMERA-PROT_1+NORD_CE2LITE_5G,Mar-26,Transparent,INDIA,ACCGHUEZ5U67KKUA,Silicon
CAMERA-PROT_1+NORD_CE2LITE_5G_3216,CAMERA-PROT_1+NORD_CE2LITE_5G_3216,Mar-26,Transparent,INDIA,ACCGHUFSSBYYZ4NG,Silicon
CAMERA-PROT_MI_11TPRO_5G,CAMERA-PROT_MI_11TPRO_5G,Mar-26,Transparent,INDIA,ACCGQHVA8QWGDZHV,Silicon
CAMERA-PROT_MI_12_5G,CAMERA-PROT_MI_12_5G,Mar-26,Transparent,INDIA,ACCGYHS6DPHG2F6Z,Silicon
CAMERA-PROT_MI_13C_4G,CAMERA-PROT_MI_13C_4G,Mar-26,Transparent,INDIA,ACCHYUK4HQ4YZB3T,Silicon
CAMERA-PROT_MI_13C_5G,CAMERA-PROT_MI_13C_5G,Mar-26,Transparent,INDIA,ACCHYUHG8H9FPMZH,Silicon
CAMERA-PROT_MI_13C_5G_POC_M6_5G,CAMERA-PROT_MI_13C_5G_POC_M6_5G,Mar-26,Transparent,INDIA,ACCHYUHUUYEEGY79,Silicon
CAMERA-PROT_MI_NOT9PRO,CAMERA-PROT_NOPO,Mar-26,Transparent,INDIA,ACCG6FZU3HDESC2Z,Silicon
CAMERA-PROT_MI_NOTE10T_5G,CAMERA-PROT_MI_NOTE10T_5G,Mar-26,Transparent,INDIA,ACCGHKAFJPQ6G2DG,Silicon
CAMERA-PROT_MI_POC_C61,CAMERA-PROT_MI_POC_C61,Mar-26,Transparent,INDIA,ACCHYF68EMAVNSGM,Silicon
CAMERA-PROT_MI_POC_C65_5G,CAMERA-PROT_MI_POC_C65_5G,Mar-26,Transparent,INDIA,ACCHYUKJBNGGFZ6F,Silicon
CAMERA-PROT_MI_POC_M6PRO_5G,CAMERA-PROT_MI_POC_M6PRO_5G,Mar-26,Transparent,INDIA,ACCGYHS9AGRZW7CT,Silicon
CAMERA-PROT_MI_POC_X2,CAMERA-PROT_M_PC_X2,Mar-26,Transparent,INDIA,ACCG6JMFCHWTG6KD,Silicon
CAMERA-PROT_ONE_PLUS_CE3LITE_5G_SN,CAMERA-PROT_ONE_PLUS_CE3LITE_5G_SN,Mar-26,Transparent,INDIA,ACCGQZ3ZY74EVNDK,Silicon
CAMERA-PROT_OPO_F21PRO_4G,CAMERA-PROT_OPO_F21PRO_4G,Mar-26,Transparent,INDIA,ACCGH6YGCGVAHH4G,Silicon
CAMERA-PROT_OPP_A5PRO_5G,CAMERA-PROT_OPP_A5PRO_5G,Mar-26,Transparent,INDIA,ACCHFM2Z7ARMY7H3,Silicon
CAMERA-PROT_OPP_F25PRO_5G,CAMERA-PROT_OPP_F25PRO_5G,Mar-26,Transparent,INDIA,ACCHYEE25JP7QKRM,Silicon
CAMERA-PROT_OPP_F25PRO_5G_SN,CAMERA-PROT_OPP_F25PRO_5G_SN,Mar-26,Transparent,INDIA,ACCHYF9HGRFW4NDJ,Silicon
CAMERA-PROT_OPP_F27PRO_PLUS_5G,CAMERA-PROT_OPP_F27PRO_PLUS_5G,Mar-26,Transparent,INDIA,ACCH2W6Q8QU3TYG2,Silicon
CAMERA-PROT_OPP_RENO_11_5G,CAMERA-PROT_OPP_RENO_11_5G,Mar-26,Transparent,INDIA,ACCHFFD7KYHAFTJP,Silicon
CAMERA-PROT_OPP_RENO_13_5G,CAMERA-PROT_OPP_RENO_13_5G,Mar-26,Transparent,INDIA,ACCHFN5ZUFJBYUEF,Silicon
CAMERA-PROT_REAL_11PRO_PLUS_5G,CAMERA-PROT_REAL_11PRO_PLUS_5G,Mar-26,Transparent,INDIA,ACCHFFEQVKWWKZ8D,Silicon
CAMERA-PROT_REAL_12PLUS_5G,CAMERA-PROT_REAL_12PLUS_5G,Mar-26,Transparent,INDIA,ACCHYFA9GFP33DFB,Silicon
CAMERA-PROT_REAL_9I_5G,CAMERA-PROT_REAL_9i_5G,Mar-26,Transparent,INDIA,ACCGQZF2RGMVACUH,Silicon
CAMERA-PROT_REAL_NRZ_20,CAMERA-PROT_REAL_NRZ_20,Mar-26,Transparent,INDIA,ACCG6F39QTANTHZY,Silicon
CAMERA-PROT_REAL_NRZO_70PRO_5G,CAMERA-PROT_REAL_NRZO_70PRO_5G,Mar-26,Transparent,INDIA,ACCHYFBS6RTGVPAS,Silicon
CAMERA-PROT_REAL_P1_5G,CAMERA-PROT_REAL_P1_5G,Mar-26,Transparent,INDIA,ACCHFFG9DY2XJNRJ,Silicon
CAMERA-PROT_REAL_P1_SPEED_5G,CAMERA-PROT_REAL_P1_SPEED_5G,Mar-26,Transparent,INDIA,ACCH93BA2TQYYVFR,Silicon
CAMERA-PROT_REAL_P3_ULTRA_5G,CAMERA-PROT_REAL_P3_ULTRA_5G,Mar-26,Transparent,INDIA,ACCHFZ7R58NBG2UM,Silicon
CAMERA-PROT_REAL_X7,CAMERA-PROT_REAL_X7,Mar-26,Transparent,INDIA,ACCG6GHZ7UGZZBVH,Silicon
CAMERA-PROT_SAM_S23_FE_5G,CAMERA-PROT_SAM_S23_FE_5G,Mar-26,Transparent,INDIA,ACCHFFGJHSYZMWQM,Silicon
CAMERA-PROT_TACNO_SPARK_10_5G,CAMERA-PROT_TACNO_SPARK_10_5G,Mar-26,Transparent,INDIA,ACCHFFH3KHMHP9UZ,Silicon
CAMERA-PROT_TACNO_SPARK_10_5G_SN,CAMERA-PROT_TACNO_SPARK_10_5G_SN,Mar-26,Transparent,INDIA,ACCHFFHCBNE9TP3Y,Silicon
CAMERA-PROT_VIV_T1_44W,CAMERA-PROT_VIV_T1_44W,Mar-26,Transparent,INDIA,ACCGPWDE3FVVBRUA,Silicon
CAMERA-PROT_VIV_T2PRO_5G,CAMERA-PROT_VIV_T2PRO_5G,Mar-26,Transparent,INDIA,ACCGYKCGXEWKZKBT,Silicon
CAMERA-PROT_VIV_T3_5G,CAMERA-PROT_VIV_T3_5G,Mar-26,Transparent,INDIA,ACCH7ZDZH3WVBG7X,Silicon
CAMERA-PROT_VIV_T4R_V50_5G,CAMERA-PROT_VIV_T4R_V50_5G,Mar-26,Transparent,INDIA,ACCHFN9HRYQHEG2M,Silicon
CAMERA-PROT_VIV_V23_5G,CAMERA-PROT_VIV_V23_5G,Mar-26,Transparent,INDIA,ACCGH74P2G7JYNPG,Silicon
CAMERA-PROT_VIV_V25_5G_SN,CAMERA-PROT_VIV_V25_5G_SN,Mar-26,Transparent,INDIA,ACCGPFUFTBHFVRPH,Silicon
CAMERA-PROT_VIV_V27_V27PRO_5G,CAMERA-PROT_VIV_V27_V27PRO_5G,Mar-26,Transparent,INDIA,ACCGPFRGDHRGFSHT,Silicon
CAMERA-PROT_VIV_V27PRO_5G,CAMERA-PROT_VIV_V27PRO_5G,Mar-26,Transparent,INDIA,ACCGPFRAKFWYUHTF,Silicon
CAMERA-PROT_VIV_V30E_5G,CAMERA-PROT_VIV_V30e_5G,Mar-26,Transparent,INDIA,ACCH26FQ6UR56TB2,Silicon
CAMERA-PROT_VIV_X100_5G,CAMERA-PROT_VIV_X100_5G,Mar-26,Transparent,INDIA,ACCHYF9VAPQAZ43Z,Silicon
CAMERA-PROT_VIV_Y28S_5G,CAMERA-PROT_VIV_Y28s_5G,Mar-26,Transparent,INDIA,ACCH7ZC5UNVVTJG9,Silicon
CAMERA-PROT_VIVO_V25_5G,CAMERA-PROT_VIVO_V25_5G_SN,Mar-26,Transparent,INDIA,ACCGQHYNNRVBBMYV,Silicon
CAMER-PROT_SAM_A21S,CAMER-PROT_SAM_A21s,Mar-26,Transparent,INDIA,ACCG6H7YACRNMEB6,Silicon
CAMER-PROT_VIV_Y30,CAMER-PROT_VIV_Y30,Mar-26,Transparent,INDIA,ACCG6H83VBZTZ4TG,Silicon
COFFE_BLACK_MI_13_5G_M6_PIUS_5G,Coffe_Black_MI_13_5G_M6_PIUS_5G,Mar-26,Black,INDIA,ACCH9K2ZNGAVZKC4,Silicon
COFFE_BLACK_MOTO_G34_5G,Coffe_Black_Moto_G34_5G,Mar-26,Black,INDIA,ACCH92JSAWGTTDPW,Silicon
COFFE_BLACK_MOTO_G34_5G_2_0,Coffe_Black_G34_5G_2_0,Mar-26,Black,INDIA,ACCH96ZHGYDZNTC3,Silicon
COFFE_BLACK_MOTO_G45_5G_G34_5G,Coffe_Black_M_G45_5G_G34_5G,Mar-26,Black,INDIA,ACCH92MXC8ZF6GHH,Silicon
COFFE_BLACK_POCO_M6_PLUS_MI_13_5G,Coffe_Black_POCO_M6_PLUS_MI_13_5G,Mar-26,Black,INDIA,ACCH9H76FZNYRNKB,Silicon
COFFE_BLACK_REAL_13PRO_5G,Coffe_Black_REAL_13PRO_5G,Mar-26,Black,INDIA,ACCH98XGKEXMNB4F,Silicon
COFFE_BLACK_REAL_NARZO_70_5G,Coffe_Black_REAL_Narzo_70_5G,Mar-26,Black,INDIA,ACCH97PFVCEZHTEN,Silicon
COFFE_BLACK_REAL_P1_5G,Coffe_Black_REAL_P1_5G,Mar-26,Black,INDIA,ACCH97ZT4F3P8TJM,Silicon
COFFE_BLACK_SAM_M15_5G_PRIME_EDITION,Coffe_Black_SAM_M15_5G_PRIME_EDITION,Mar-26,Black,INDIA,ACCH98YFRD3GY7ZH,Silicon
COFFE_BLK_REALME_C65_5G_12_5G,Coffe_Blk_Realme_C65_5G_12_5G,Mar-26,Black,INDIA,ACCH8VMWFDKUZAMK,Silicon
COFFE_BROWN_MI_13_5G_M6_PIUS_5G,Coffe_BROWN_MI_13_5G_M6_PIUS_5G,Mar-26,Brown,INDIA,ACCH9K2WBZW9HGEG,Silicon
COFFE_BROWN_MI_POC_M6_5G,Coffe_Brown_MI_POC_M6_5G,Mar-26,Brown,INDIA,ACCH9CDAY7FEGSFG,Silicon
COFFE_BROWN_MOTO_G34_5G,Coffe_Brown_Moto_G34_5G,Mar-26,Brown,INDIA,ACCH92JXAJ8QTSN6,Silicon
COFFE_BROWN_MOTO_G45_5G_G34_5G,Coffe_Brown_oto_G45_5G_G34_5G,Mar-26,Brown,INDIA,ACCH92MTMR7NBX7X,Silicon
COFFE_BROWN_OPP_F27_5G_SN,Coffe_Brown_OPP_F27_5G_SN,Mar-26,Brown,INDIA,ACCH9CDJFKUTQCGF,Silicon
COFFE_BROWN_POCO_M6_PLUS_MI_13_5G,Coffe_Brown_POCO_M6_PLUS_MI_13_5G,Mar-26,Brown,INDIA,ACCH9H7YNU8K6TQE,Silicon
COFFE_BROWN_REAL_12PLUS_5G,Coffe_Brown_REAL_12PLUS_5G,Mar-26,Brown,INDIA,ACCH9D7UCEURZNTK,Silicon
COFFE_BROWN_RELME_C65_5G_12_5G,Coffe_Brown_Relme_C65_5G_12_5G,Mar-26,Brown,INDIA,ACCH8VZFGGHCFVTG,Silicon
COFFE_BROWN_RELME_NRZ_70X_5G_12_5G,Coffe_Brown_Relme_NRZ_70x_5G_12_5G,Mar-26,Brown,INDIA,ACCH8VZ8VKV3S9YB,Silicon
COFFE_GREEN_REAL_13PRO_PLUS_5G,Coffe_GREEN_REAL_13PRO_PLUS_5G,Mar-26,Green,INDIA,ACCH9K33XDFNTZRH,Silicon
COFFEE_BLACK_OPO_A3_PRO_5G,COFFEE_BLACK_OPO_A3_PRO_5G,Mar-26,Black,INDIA,ACCH9ZRJJYBRRFXC,Silicon
COFFEE_BLACK_OPO_K12X_5G_A3_PRO_5G,COFFEE_BLACK_K12x_5G_A3_PRO_5G,Mar-26,Black,INDIA,ACCHA66VU3MXGEWG,Silicon
COFFEE_BROWN_OPO_K12X_5G_A3_PRO_5G,COFFEE_BROWN_K12x_5G_A3_PRO_5G,Mar-26,Brown,INDIA,ACCHA66VKZHSMMHX,Silicon
CRYSTAL_MAGSF_WHITE_IQOO_Z10X_5G_VIV_T4X_5G,CRYSTAL_MAGSF_WHITE_IQOO_Z10X_5G_VIV_T4X_5G,Mar-26,Transparent,INDIA,ACCHFTXTQYZ5ESZV,Silicon
